0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
1 9
2 9
3 9
4 9
5 9
6 9
7 9
8 9
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 9
17 9
18 9
19 9
18 9
17 9
16 9
15 9
15 8
15 7
15 6
15 5
15 4
15 3
15 2
16 2
17 2
17 3
17 4
17 5
17 4
17 3
17 2
18 2
19 2
19 3
19 4
19 5
19 6
19 7
18 7
17 7
18 7
19 7
19 6
19 5
19 4
19 3
19 2
18 2
17 2
17 1
17 0
18 0
19 0
18 0
17 0
17 1
17 2
16 2
15 2
15 1
14 1
13 1
13 2
13 3
13 4
13 5
13 6
13 7
12 7
11 7
10 7
9 7
8 7
7 7
6 7
6 6
5 6
4 6
3 6
3 5
2 5
1 5
1 6
1 7
1 8
2 8
3 8
4 8
3 8
2 8
1 8
1 7
1 6
1 5
1 4
1 3
1 2
1 1
1 0
1 1
1 2
1 3
1 4
1 5
2 5
3 5
3 4
4 4
4 3
3 3
3 2
3 1
3 0
4 0
5 0
5 1
5 0
4 0
3 0
3 1
3 2
3 3
4 3
4 4
3 4
3 5
3 6
4 6
5 6
6 6
6 5
6 4
6 3
7 3
7 2
7 1
7 0
8 0
9 0
9 1
9 2
9 3
9 4
8 4
8 5
9 5
10 5
11 5
11 4
10 4
